compliance_data_id,customer_id,transaction_id,transaction_amount,transaction_date,aml_check_passed,kyc_check_passed
1,1,6,14,3178,yes,yes
2,2,4974,324,2811,no,no
3,3,5162,301,2183,yes,no
4,4,9479,605,3679,no,yes
5,5,9801,350,4532,yes,yes
6,6,4155,311,8662,no,no
7,7,8792,136,3595,no,yes
8,8,2264,45,1073,yes,no
9,9,7763,428,1374,no,yes
10,10,8166,58,6259,no,no
11,11,9550,686,7088,no,no
12,12,8616,969,8492,no,yes
13,13,8493,594,6942,yes,no
14,14,2220,345,3870,no,yes
15,15,2374,37,4490,no,yes
16,16,3110,882,8404,yes,no
17,17,3243,835,2772,yes,no
18,18,3404,544,3813,no,no
19,19,7499,117,1868,yes,yes
20,20,2159,787,9412,no,no
21,21,3330,828,2198,no,yes
22,22,7709,389,9093,yes,yes
23,23,8653,14,7564,yes,no
24,24,2100,907,8179,no,yes
25,25,9028,621,8115,no,no
26,26,2762,945,8389,yes,no
27,27,2644,48,3833,yes,yes
28,28,2728,367,8521,yes,yes
29,29,7788,804,6508,no,yes
30,30,8788,598,7067,no,yes
31,31,514,506,3464,yes,no
32,32,7835,872,7627,yes,no
33,33,3240,320,2793,yes,yes
34,34,6645,672,6458,no,yes
35,35,7363,150,2990,yes,yes
36,36,4635,809,4027,yes,yes
37,37,3792,635,3467,no,yes
38,38,7422,266,5966,yes,no
39,39,2857,826,2518,no,no
40,40,1968,437,3997,no,no
41,41,6082,419,7369,yes,no
42,42,5013,964,7012,yes,yes
43,43,7501,79,7720,yes,yes
44,44,3259,310,7142,yes,yes
45,45,3440,333,3617,no,yes
46,46,1736,854,2093,yes,yes
47,47,2718,12,8049,yes,no
48,48,732,212,3721,no,no
49,49,1598,359,2373,yes,yes
50,50,2989,966,2022,yes,yes
51,51,5354,701,5606,no,yes
52,52,499,355,9235,no,yes
53,53,7386,997,1788,no,yes
54,54,3130,118,5637,yes,no
55,55,759,813,4414,yes,yes
56,56,4089,708,3907,no,no
57,57,5818,126,7034,no,no
58,58,2037,617,9638,no,no
59,59,3765,531,1323,yes,no
60,60,5637,877,5834,no,no
61,61,3699,917,6853,yes,yes
62,62,8027,551,5978,yes,yes
63,63,9415,703,4708,no,yes
64,64,4123,399,7916,yes,yes
65,65,6827,747,7253,yes,yes
66,66,758,394,3294,no,yes
67,67,7066,818,4886,yes,yes
68,68,7102,683,6541,no,yes
69,69,730,369,7117,no,yes
70,70,4098,798,5262,no,no
71,71,5891,989,1149,yes,yes
72,72,2296,280,6044,yes,yes
73,73,7851,678,1143,no,no
74,74,5988,806,9037,yes,no
75,75,7731,534,5834,no,yes
76,76,7072,478,3732,no,no
77,77,9543,779,5708,no,yes
78,78,1958,870,3209,yes,no
79,79,2867,512,9115,no,yes
80,80,726,478,6860,yes,yes
81,81,7300,965,6829,yes,no
82,82,9715,144,8240,no,yes
83,83,3106,989,4083,yes,yes
84,84,6536,699,4729,no,yes
85,85,3465,675,5379,no,no
86,86,3643,288,7942,yes,yes
87,87,4028,730,8566,yes,yes
88,88,6556,108,8302,yes,no
89,89,4318,981,1615,yes,no
90,90,898,829,7312,no,yes
91,91,910,374,1976,yes,no
92,92,5289,338,6309,yes,no
93,93,844,36,1691,yes,yes
94,94,9688,283,8068,no,yes
95,95,548,214,8724,no,no
96,96,2551,363,6869,no,yes
97,97,1344,677,8728,no,no
98,98,6218,254,1921,yes,yes
99,99,9971,570,9107,no,no
100,100,2745,493,4469,yes,no
101,101,7623,999,1846,yes,yes
102,102,9528,92,1494,no,no
103,103,9825,451,5332,yes,no
104,104,5876,375,9587,yes,yes
105,105,2578,583,2582,no,yes
106,106,9612,778,8780,yes,yes
107,107,8549,246,7137,no,no
108,108,6681,212,8809,no,yes
109,109,1406,582,9270,yes,no
110,110,3362,112,5225,yes,no
111,111,7118,935,3959,yes,no
112,112,3866,634,9568,yes,no
113,113,713,778,9826,no,no
114,114,4946,855,5669,no,yes
115,115,3936,480,2335,yes,no
116,116,2102,841,3451,no,yes
117,117,3085,289,7691,no,yes
118,118,6206,609,8345,yes,yes
119,119,5213,364,3906,no,yes
120,120,6191,104,6050,yes,no
121,121,4685,463,2326,no,yes
122,122,5950,89,8421,yes,no
123,123,8242,271,7260,yes,no
124,124,3468,137,6190,no,no
125,125,6741,989,5220,no,no
126,126,9559,126,9909,no,yes
127,127,3092,483,6655,no,yes
128,128,3495,577,7968,no,no
129,129,7013,152,4961,no,yes
130,130,4448,423,3871,no,no
131,131,7479,830,5779,yes,yes
132,132,9727,92,8526,yes,yes
133,133,2795,976,7254,yes,yes
134,134,6580,947,1918,yes,yes
135,135,9420,310,6048,yes,yes
136,136,1297,967,4511,yes,yes
137,137,8574,481,6530,yes,no
138,138,5666,966,1090,no,yes
139,139,8993,141,6707,yes,no
140,140,7975,213,8998,yes,yes
141,141,2457,528,8565,no,yes
142,142,9753,915,7418,yes,yes
143,143,6978,978,5793,no,yes
144,144,2053,376,9318,no,no
145,145,5236,610,2241,yes,no
146,146,2173,458,2852,yes,no
147,147,6216,909,2508,yes,yes
148,148,2218,152,1983,yes,yes
149,149,8427,51,4666,no,yes
150,150,6932,276,9173,yes,no
151,151,2171,530,8979,no,yes
152,152,7373,549,7452,no,yes
153,153,4542,225,1437,yes,no
154,154,5186,34,2255,yes,no
155,155,8716,123,8979,yes,yes
156,156,2241,741,5998,yes,no
157,157,4995,242,5943,no,no
158,158,2759,161,4008,no,yes
159,159,5474,276,1675,no,no
160,160,1565,257,2356,no,no
161,161,2317,672,2528,yes,no
162,162,3143,408,4066,no,no
163,163,8885,196,5085,yes,no
164,164,6181,275,4307,no,no
165,165,7306,660,9802,no,yes
166,166,7490,697,6080,no,no
167,167,7786,329,9846,no,yes
168,168,2881,535,6549,yes,no
169,169,1623,325,3884,no,yes
170,170,8396,532,2719,yes,no
171,171,4501,719,6110,no,yes
172,172,5824,693,6510,yes,yes
173,173,2798,697,6137,yes,no
174,174,4610,86,2882,yes,no
175,175,2303,938,8758,yes,no
176,176,9220,98,7354,no,no
177,177,6778,563,5239,yes,no
178,178,7142,795,8422,yes,yes
179,179,6191,656,9305,yes,no
180,180,9003,578,7633,yes,no
181,181,3687,69,5598,yes,yes
182,182,1350,132,1902,yes,yes
183,183,4248,73,1401,yes,no
184,184,3626,269,7674,yes,no
185,185,8236,552,8318,no,no
186,186,5348,297,5361,no,yes
187,187,8211,627,8396,yes,yes
188,188,2076,915,2107,no,no
189,189,7622,204,5583,yes,no
