financial_data_id,company_id,statement_type,period_start,period_end,total_assets,total_liabilities,total_equity,net_income,operating_cash_flow,investing_cash_flow,financing_cash_flow
1,6771,compliance,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,current assets,1,1,1,1,1,1
2,9148,segmental,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,physical assets,1,1,1,2,2,2
3,4631,segmental,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,financial assets,2,1,1,2,1,1
4,5657,changes in equity,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,current assets,1,2,1,1,2,2
5,5210,budgeted,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,non-current assets,2,2,1,1,2,1
6,191,retained earnings,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,intangible assets,1,2,1,2,1,2
7,2141,compliance,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,physical assets,2,2,2,1,2,1
8,5036,changes in equity,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,fixed assets,1,1,2,1,1,1
9,2511,changes in equity,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,fixed assets,2,1,2,1,2,2
10,4976,segmental,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,intangible assets,2,2,2,1,1,2
11,1953,changes in equity,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,non-current assets,2,1,1,1,2,1
12,8931,segmental,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,current assets,2,2,2,2,2,2
13,5317,comprehensive income,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,current assets,2,1,1,1,2,2
14,3959,interim,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,non-current assets,1,1,1,1,2,1
15,8067,interim,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,financial assets,1,2,2,2,1,1
16,8531,retained earnings,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,intangible assets,1,1,2,1,1,2
17,4778,interim,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,physical assets,2,2,2,2,2,2
18,8206,regulatory,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,current assets,1,1,1,2,1,2
19,4593,retained earnings,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,financial assets,1,2,1,1,2,2
20,9390,retained earnings,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,current assets,2,2,2,1,2,1
21,7108,comprehensive income,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,assets under management,2,1,1,2,1,2
22,5669,changes in equity,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,fixed assets,1,2,1,2,2,2
23,4374,interim,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,current assets,1,2,1,2,1,1
24,279,comprehensive income,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,non-current assets,2,2,1,2,2,2
25,8308,compliance,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,non-current assets,1,2,1,2,1,1
26,4095,segmental,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,intangible assets,1,1,2,1,1,1
27,6287,retained earnings,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,physical assets,1,1,1,1,2,2
28,2093,interim,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,fixed assets,2,1,2,2,1,1
29,9973,segmental,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,current assets,2,2,2,2,2,2
30,3733,compliance,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,financial assets,2,2,2,1,2,2
31,3222,segmental,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,fixed assets,1,1,2,2,1,1
32,6162,regulatory,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,fixed assets,1,2,1,2,1,1
33,3013,interim,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,physical assets,2,2,2,1,1,2
34,3755,budgeted,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,physical assets,2,2,2,1,2,2
35,6120,regulatory,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,intangible assets,2,1,2,2,1,1
36,8706,comprehensive income,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,physical assets,2,2,1,2,1,2
37,9889,comprehensive income,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,intangible assets,2,1,2,2,1,1
38,8653,comprehensive income,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,current assets,2,2,2,1,2,2
39,5882,changes in equity,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,current assets,2,1,1,2,1,1
40,5803,budgeted,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,current assets,1,2,1,2,2,2
41,1483,regulatory,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,assets under management,1,2,2,1,1,1
42,4722,retained earnings,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,fixed assets,1,2,1,1,2,1
43,5739,budgeted,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,fixed assets,1,2,2,2,1,1
44,4134,comprehensive income,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,current assets,1,1,2,2,1,2
45,9577,regulatory,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,fixed assets,1,2,1,1,2,2
46,5974,interim,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,financial assets,1,2,1,2,1,2
47,1781,compliance,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,intangible assets,1,2,2,1,2,2
48,7108,compliance,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,current assets,1,2,1,2,1,2
49,2844,interim,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,non-current assets,2,2,2,1,2,2
50,183,comprehensive income,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,intangible assets,2,2,2,2,1,1
51,9080,interim,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,non-current assets,1,2,1,2,1,1
52,2295,compliance,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,physical assets,1,1,2,1,2,2
53,8626,compliance,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,financial assets,1,2,2,2,2,2
54,9638,interim,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,current assets,2,1,2,1,1,2
55,8990,budgeted,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,non-current assets,1,1,2,1,2,1
56,3553,comprehensive income,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,physical assets,1,1,2,2,2,1
57,8671,comprehensive income,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,intangible assets,1,2,1,1,1,2
58,7881,regulatory,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,intangible assets,2,1,2,2,1,1
59,7538,retained earnings,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,assets under management,2,1,1,2,1,1
60,2480,budgeted,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,fixed assets,1,2,1,1,1,1
61,9223,compliance,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,fixed assets,1,2,1,2,1,1
62,786,interim,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,financial assets,1,2,1,2,2,1
63,5504,retained earnings,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,physical assets,2,1,1,2,2,1
64,30,changes in equity,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,intangible assets,2,2,2,1,2,1
65,1075,retained earnings,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,fixed assets,2,1,2,2,2,1
66,4272,retained earnings,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,financial assets,2,2,2,1,2,1
67,196,interim,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,intangible assets,1,1,1,1,1,2
68,5795,changes in equity,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,current assets,1,2,2,2,2,2
69,9491,segmental,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,physical assets,2,2,2,1,2,2
70,4052,changes in equity,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,assets under management,2,1,1,1,2,1
71,7348,retained earnings,<function random_datetime at 0x0000026F7D41B250>,<function random_datetime at 0x0000026F7D41B250>,assets under management,2,1,2,1,1,1
