market_data_id,market_trend,economic_indicator,external_factor,value
1,Bearish,GDP,Consumer Confidence,6295
2,Bearish,Inflation Rate,Interest Rates,9406
3,Bearish,Retail Sales,Stock Market,8986
4,Bearish,Employment Rate,Political Stability,8122
5,Bullish,GDP,Oil Prices,3963
6,Bullish,Employment Rate,Political Stability,4853
7,Sideways,Employment Rate,Exchange Rates,2537
8,Sideways,Inflation Rate,Interest Rates,8014
9,Sideways,GDP,Oil Prices,4590
10,Bearish,Trade Balance,Exchange Rates,3660
11,Sideways,Housing Starts,Oil Prices,2591
12,Bearish,Inflation Rate,Interest Rates,9530
13,Bearish,Unemployment Rate,Exchange Rates,1119
14,Bullish,Trade Balance,Oil Prices,1759
15,Bullish,Retail Sales,Consumer Confidence,4625
16,Bearish,GDP,Stock Market,8422
17,Sideways,Inflation Rate,Consumer Confidence,2348
18,Bullish,Trade Balance,Exchange Rates,4626
19,Sideways,GDP,Consumer Confidence,8978
20,Bullish,Consumer Price Index,Political Stability,8309
21,Bearish,Consumer Price Index,Exchange Rates,7032
22,Bearish,Housing Starts,Oil Prices,8683
23,Bullish,Unemployment Rate,Exchange Rates,1585
24,Bullish,Consumer Price Index,Interest Rates,9668
25,Sideways,Employment Rate,Consumer Confidence,1587
26,Sideways,Employment Rate,Political Stability,9865
27,Sideways,Employment Rate,Oil Prices,3309
28,Bearish,GDP,Stock Market,5522
29,Sideways,Industrial Production,Political Stability,5708
30,Bullish,Consumer Price Index,Exchange Rates,6028
31,Bullish,Unemployment Rate,Political Stability,1131
32,Sideways,Retail Sales,Political Stability,9307
33,Sideways,Trade Balance,Political Stability,1983
34,Bearish,Consumer Price Index,Political Stability,8779
35,Bearish,Unemployment Rate,Political Stability,6380
36,Bearish,Consumer Price Index,Oil Prices,2502
37,Sideways,Employment Rate,Interest Rates,4616
38,Sideways,Inflation Rate,Oil Prices,3284
39,Bullish,Inflation Rate,Stock Market,6503
40,Sideways,Employment Rate,Consumer Confidence,8134
41,Bearish,Housing Starts,Political Stability,3236
42,Sideways,Housing Starts,Consumer Confidence,8420
43,Bullish,Trade Balance,Interest Rates,6414
44,Bullish,Employment Rate,Stock Market,7153
45,Bearish,GDP,Interest Rates,5979
46,Sideways,GDP,Oil Prices,9797
47,Bullish,Retail Sales,Exchange Rates,7618
48,Bullish,Unemployment Rate,Consumer Confidence,2000
49,Sideways,Trade Balance,Stock Market,3525
50,Bearish,Trade Balance,Exchange Rates,6868
51,Bullish,Trade Balance,Oil Prices,1303
52,Bullish,Industrial Production,Interest Rates,8458
53,Bullish,Inflation Rate,Political Stability,4823
54,Bullish,Retail Sales,Oil Prices,5458
55,Sideways,GDP,Oil Prices,5013
56,Sideways,Unemployment Rate,Interest Rates,7269
57,Sideways,Consumer Price Index,Exchange Rates,7046
58,Sideways,Industrial Production,Oil Prices,6723
59,Sideways,Consumer Price Index,Exchange Rates,7645
60,Bullish,GDP,Political Stability,4863
61,Bearish,Housing Starts,Stock Market,5208
62,Sideways,Employment Rate,Oil Prices,4774
63,Bullish,Employment Rate,Political Stability,2977
64,Sideways,Industrial Production,Oil Prices,6567
65,Bearish,Consumer Price Index,Oil Prices,9621
66,Bullish,Inflation Rate,Consumer Confidence,9968
67,Bullish,Retail Sales,Exchange Rates,5114
68,Sideways,Housing Starts,Stock Market,3405
69,Bullish,Consumer Price Index,Political Stability,9486
70,Bearish,Unemployment Rate,Stock Market,6920
