transaction_id,customer_id,deposit_amount,withdrawal_amount,transfer_amount,transaction_date
749070,1,7206,6197,7092,09/05/1985 16:58:35
110572,2,1110,5064,6616,15/10/1987 09:07:02
691632,3,6362,4671,3690,14/07/2013 09:57:00
502490,4,8144,3808,7874,07/05/1985 21:11:57
830111,5,2192,8393,9876,04/06/1988 05:00:25
230700,6,3318,9382,3021,14/10/1980 23:19:49
486066,7,4111,1048,1183,16/12/2007 08:14:17
66364,8,3815,4753,2918,11/02/2005 04:43:58
382535,9,4337,4801,4576,06/12/1999 14:12:27
510883,10,4146,6988,2234,04/03/2023 12:45:33
332502,11,6726,1592,9425,08/02/2016 09:51:23
982057,12,9222,2922,1720,09/03/1994 16:34:33
984832,13,2744,1693,1508,08/05/1995 14:33:18
255171,14,1024,2169,5721,10/02/1983 14:33:19
138093,15,9222,2761,6895,04/09/1985 10:43:50
581676,16,7284,8106,2090,19/02/2011 07:40:52
6297,17,5174,1829,4524,09/08/1993 11:00:25
172750,18,6717,2080,1681,09/06/2016 11:33:56
991064,19,5533,3302,9735,11/06/1992 02:17:49
195337,20,8564,6071,1804,28/04/1987 12:51:16
186364,21,1334,4696,7811,26/02/1995 12:45:06
960307,22,9457,9314,7991,18/07/2002 10:51:53
806097,23,9631,6884,8695,02/01/2009 00:57:34
837252,24,6655,1494,5404,28/03/2003 06:33:34
342552,25,4098,5745,1431,03/07/2008 17:38:11
518837,26,5762,9862,2322,24/11/1982 03:01:37
58575,27,6425,9878,9015,04/07/2002 18:57:56
552841,28,5600,8751,3073,10/11/1994 14:28:39
675478,29,1848,7572,6925,09/08/2009 11:34:54
895785,30,9465,6517,6237,15/03/1981 03:08:50
99117,31,9946,5460,5606,13/01/1981 04:39:06
770546,32,5754,7027,1810,27/10/2010 07:45:38
59396,33,4142,9900,4194,15/06/1997 06:26:53
909977,34,8528,6308,6370,02/12/1981 01:58:30
854450,35,3301,8050,6556,08/07/1982 02:10:26
925705,36,3730,6823,2149,17/04/2005 04:58:51
549186,37,1067,5229,3780,16/10/2019 19:16:35
809861,38,1575,3682,5865,14/04/1991 17:24:30
799677,39,9449,5376,9083,09/06/2008 23:38:51
119138,40,9051,2030,2342,16/09/1996 08:21:39
788698,41,8311,6796,9566,27/10/2010 22:26:10
747072,42,1107,9874,8906,19/06/1998 11:06:20
230424,43,6838,3010,1123,28/07/1992 09:43:18
772811,44,3212,7892,7145,19/07/2006 18:36:07
394601,45,6397,3863,9537,24/01/1991 15:24:11
455379,46,4908,6198,1978,26/08/2006 15:31:55
110754,47,4749,2722,3087,27/03/2016 19:26:56
203755,48,3463,4667,7717,22/08/2005 12:44:36
931015,49,4480,7837,7230,29/12/1991 12:03:22
326333,50,3483,1383,7102,27/03/2015 01:07:22
754981,51,2878,4913,7046,15/10/2000 14:24:11
904199,52,1975,5350,5887,01/10/2009 08:30:05
463291,53,1607,6304,7022,05/04/2020 08:44:36
627413,54,8672,4833,3608,17/01/2005 02:20:54
678836,55,2661,9076,7000,22/07/2000 05:29:51
722907,56,7687,8203,2018,21/05/1980 11:54:45
853497,57,5008,4892,9210,30/11/2006 18:31:20
805856,58,4608,3686,1941,11/09/1989 16:27:14
531826,59,6203,6115,3275,26/12/1991 10:42:23
486480,60,9597,9441,5700,14/08/1999 22:08:32
750867,61,4624,3490,6504,20/11/2003 04:15:10
698067,62,8828,3738,7069,04/04/1997 23:52:18
314294,63,4707,6368,8878,16/07/1981 16:27:54
329319,64,4234,1374,7157,27/10/1994 02:29:05
456690,65,9306,1934,1948,22/08/1997 22:20:54
876400,66,4513,9003,5199,05/08/1991 13:49:57
962901,67,4269,1819,3977,26/11/2019 19:24:37
845843,68,7185,1782,3068,27/10/1993 09:58:15
651610,69,3179,5585,5651,13/05/1980 09:59:32
6750,70,2195,9855,3487,15/04/1982 01:31:35
233576,71,3532,4417,7541,10/09/2013 11:51:56
236071,72,7167,7272,2484,03/08/2006 23:08:34
617545,73,1848,9276,7030,20/07/2007 17:06:24
879948,74,5755,7521,7500,06/11/1991 10:57:05
633901,75,3863,3393,3578,15/02/1984 15:40:42
447601,76,9550,2055,1283,24/12/2011 21:29:23
