order_item_id,order_id,product_name,quantity,unit_price
1,770,Product 64,6,55.95
2,734,Product 44,2,71.74
3,911,Product 2,3,59.25
4,111,Product 8,8,28.9
5,7,Product 12,9,61.18
6,486,Product 89,10,47.78
7,86,Product 49,6,12.56
8,715,Product 78,7,71.28
9,995,Product 52,6,86.15
10,154,Product 24,2,86.16
11,188,Product 76,4,93.87
12,983,Product 97,10,16.07
13,31,Product 85,9,94.49
14,200,Product 83,4,59.81
15,484,Product 71,10,78.74
16,331,Product 10,1,76.88
17,459,Product 23,9,61.22
18,94,Product 26,3,90.91
19,507,Product 82,7,82.08
20,800,Product 63,9,83.52
21,199,Product 98,1,86.16
22,353,Product 49,8,78.11
23,666,Product 10,6,38.46
24,851,Product 48,3,62.05
25,504,Product 79,10,33.53
26,535,Product 35,2,24.88
27,475,Product 36,5,95.4
28,775,Product 97,5,57.15
29,571,Product 8,1,26.61
30,123,Product 4,6,10.57
31,464,Product 6,6,95.05
32,471,Product 17,7,86.02
33,838,Product 23,2,53.79
34,483,Product 12,6,99.23
35,856,Product 36,9,43.79
36,836,Product 63,6,33.93
37,855,Product 35,6,55.49
38,674,Product 47,7,86.91
39,461,Product 28,1,24.44
40,686,Product 54,3,78.14
41,136,Product 24,4,76.78
42,837,Product 4,10,21.65
43,888,Product 54,10,14.71
44,972,Product 53,7,19.38
45,247,Product 26,8,23.74
46,980,Product 20,2,35.49
47,176,Product 98,8,89.81
48,462,Product 64,1,23.25
49,325,Product 50,3,27.06
50,912,Product 17,1,92.73
51,702,Product 1,1,47.58
52,781,Product 19,6,28.44
53,409,Product 98,6,74.81
54,815,Product 93,2,36.5
55,872,Product 52,6,68.43
56,90,Product 70,10,12.26
57,153,Product 40,8,51.17
58,862,Product 6,1,12.25
59,126,Product 68,4,21.72
60,794,Product 57,9,67.98
61,912,Product 20,10,98.9
62,169,Product 41,10,30.96
63,702,Product 96,10,84.76
64,705,Product 32,2,58.02
65,85,Product 97,9,26.87
66,287,Product 26,10,57.45
67,914,Product 42,4,16.21
68,790,Product 59,10,50.91
69,571,Product 29,2,51.05
70,385,Product 39,9,90.36
71,833,Product 34,6,73.68
72,266,Product 50,2,11.44
73,996,Product 86,2,60.17
74,444,Product 11,7,65.6
75,237,Product 12,9,57.35
76,328,Product 35,5,94.28
77,47,Product 58,6,54.14
78,259,Product 66,1,70.51
79,122,Product 78,3,38.85
80,270,Product 37,1,56.59
81,819,Product 58,5,11.04
82,487,Product 79,2,32.84
83,444,Product 5,9,19.39
84,443,Product 36,10,46.33
85,260,Product 76,10,72.32
86,642,Product 65,2,26.86
87,831,Product 87,4,54.72
88,654,Product 7,8,90.3
89,392,Product 55,2,46.43
90,48,Product 93,7,47.85
91,898,Product 70,3,77.48
92,774,Product 80,10,41.88
93,185,Product 19,4,11.63
94,933,Product 49,5,44.41
95,854,Product 23,5,24.08
96,981,Product 30,5,89.53
97,793,Product 87,2,69.49
98,657,Product 83,10,35.17
99,634,Product 46,7,95.73
100,899,Product 65,5,58.83
101,551,Product 38,4,77.47
102,717,Product 15,3,83.26
103,260,Product 80,8,40.58
104,466,Product 80,5,85.7
105,235,Product 56,10,84.85
106,179,Product 31,6,27.31
107,51,Product 76,2,36.91
108,483,Product 93,6,94.08
109,228,Product 96,9,53.75
110,575,Product 86,8,34.35
111,643,Product 1,9,69.3
112,356,Product 19,9,96.58
113,283,Product 3,6,86.2
114,635,Product 42,7,26.99
115,344,Product 61,5,10.6
116,553,Product 56,2,60.4
117,428,Product 37,5,78.64
118,14,Product 13,7,91.47
119,832,Product 78,7,71.93
120,26,Product 43,2,71.47
121,760,Product 70,3,43.32
122,410,Product 80,7,13.52
123,669,Product 89,3,22.98
124,107,Product 34,9,82.32
125,174,Product 94,6,36.48
126,535,Product 41,6,47.56
127,136,Product 85,5,67.01
128,344,Product 47,8,70.61
129,299,Product 18,4,32.08
130,850,Product 55,1,61.77
131,218,Product 29,4,85.54
132,794,Product 5,4,44.66
133,914,Product 21,4,65.05
134,949,Product 34,2,15.36
135,362,Product 56,7,18.4
136,78,Product 71,7,72.95
137,694,Product 38,1,61.76
138,23,Product 21,4,14.72
139,665,Product 44,8,98.48
140,875,Product 22,8,60.83
141,661,Product 44,9,67.37
142,436,Product 46,8,56.17
143,831,Product 23,4,52.94
144,474,Product 98,10,62.64
145,985,Product 47,2,46.67
146,825,Product 11,3,22.35
147,489,Product 20,7,92.16
148,395,Product 64,4,35.36
149,152,Product 10,5,23.6
150,341,Product 47,6,19.19
151,588,Product 70,10,95.69
152,735,Product 43,4,57.48
153,345,Product 27,7,66.4
154,391,Product 81,1,33.21
155,326,Product 97,8,86.4
156,188,Product 77,3,41.68
157,612,Product 37,1,24.39
158,401,Product 53,8,86.13
159,153,Product 6,1,11.47
160,78,Product 73,8,52.37
161,361,Product 72,9,72.59
162,915,Product 12,6,81.9
163,439,Product 72,7,28.4
164,78,Product 69,5,46.65
165,971,Product 74,5,24.32
166,318,Product 68,1,10.94
167,369,Product 87,1,11.82
168,178,Product 10,6,96.9
169,431,Product 19,2,58.33
170,29,Product 35,7,64.49
171,450,Product 52,8,93.82
172,555,Product 80,1,21.22
173,366,Product 34,6,11.06
174,9,Product 98,9,15.79
175,167,Product 79,5,11.46
176,926,Product 9,8,22.24
177,542,Product 73,6,14.45
178,335,Product 64,2,84.69
179,981,Product 61,7,88.55
180,651,Product 100,3,79.26
181,898,Product 58,4,29.22
182,979,Product 33,9,25.85
183,121,Product 49,5,31.73
184,625,Product 20,6,19.1
185,212,Product 98,2,71.05
186,229,Product 62,6,57.08
187,119,Product 27,3,18.83
188,877,Product 45,6,42.13
189,657,Product 89,2,40.05
190,508,Product 81,7,19.95
191,347,Product 32,6,84.65
192,371,Product 74,5,34.98
193,390,Product 75,3,47.85
194,784,Product 88,10,85.5
195,916,Product 75,9,81.82
196,258,Product 49,6,61.93
197,774,Product 77,8,31.29
198,506,Product 39,8,54.03
199,750,Product 15,5,61.71
200,654,Product 16,3,61.85
201,606,Product 42,1,15.92
202,924,Product 50,6,33.73
203,903,Product 41,8,15.23
204,270,Product 49,1,66.54
205,21,Product 73,9,74.53
206,13,Product 8,2,40.2
207,324,Product 94,7,37.39
208,10,Product 42,10,20.61
209,693,Product 72,4,18.5
210,736,Product 66,1,85.17
211,351,Product 68,8,28.57
212,776,Product 12,9,57.79
213,403,Product 95,9,30.91
214,949,Product 59,4,81.1
215,653,Product 3,9,42.91
216,490,Product 65,9,15.55
217,513,Product 95,8,79.65
218,904,Product 24,2,79.95
219,481,Product 93,4,36.54
220,457,Product 40,6,84.93
221,7,Product 83,9,48.13
222,663,Product 87,10,79.74
223,261,Product 20,3,39.78
224,390,Product 4,1,54.16
225,505,Product 21,6,59.81
226,778,Product 92,6,58.72
227,355,Product 17,6,74.79
228,811,Product 50,4,79.93
229,682,Product 90,3,99.11
230,150,Product 80,3,79.9
231,589,Product 30,10,54.46
232,990,Product 43,6,14.96
233,166,Product 11,8,60.81
234,391,Product 16,2,76.69
235,562,Product 86,4,89.17
236,859,Product 33,5,84.23
237,575,Product 25,10,97.22
238,439,Product 65,8,15.6
239,310,Product 64,6,42.64
240,587,Product 15,7,27.91
241,713,Product 50,6,42.73
242,672,Product 17,10,30.63
243,559,Product 37,5,32.16
244,246,Product 28,1,19.77
245,291,Product 70,9,99.54
246,359,Product 29,1,76.56
247,605,Product 65,7,55.12
248,871,Product 45,6,77.12
249,805,Product 42,1,34.54
250,385,Product 58,5,66.63
251,692,Product 84,9,98.1
252,16,Product 29,5,11.42
253,793,Product 87,6,33.97
254,696,Product 84,10,39.36
255,578,Product 61,7,72.77
256,467,Product 45,8,92.17
257,226,Product 24,6,40.38
258,139,Product 56,3,53.8
259,59,Product 33,4,14.66
260,551,Product 77,3,12.25
261,16,Product 31,3,36.99
262,592,Product 4,1,32.38
263,744,Product 92,5,32.69
264,466,Product 23,6,39.05
265,498,Product 93,10,41.95
266,884,Product 78,8,83.79
267,871,Product 52,3,97.5
268,356,Product 35,4,75.76
269,279,Product 54,3,68.58
270,408,Product 67,5,65.23
271,950,Product 50,6,57.43
272,276,Product 87,3,85.49
273,747,Product 11,8,23.88
274,171,Product 27,5,80.59
275,384,Product 69,8,42.88
276,320,Product 69,10,73.97
277,114,Product 15,10,22.04
278,675,Product 54,1,65.32
279,974,Product 25,1,97.96
280,760,Product 47,4,97.06
281,828,Product 64,2,71.84
282,834,Product 85,5,46.93
