order_id,supplier_id,order_date,expected_delivery_date,total_cost
1,5564,2023-01-25,2023-02-06,409.51
2,3246,2022-08-24,2022-09-16,1619.37
3,7624,2022-04-09,2022-05-09,7233.54
4,3773,2022-11-16,2022-12-15,6672.11
5,9893,2022-09-10,2022-09-23,3718.66
6,2392,2022-07-15,2022-08-03,5787.22
7,5427,2022-11-17,2022-12-11,7934.43
8,7122,2022-07-23,2022-08-11,9628.36
9,3391,2023-01-13,2023-02-10,9300.76
10,3715,2022-05-03,2022-05-24,8569.0
11,3202,2022-07-24,2022-08-11,398.76
12,3857,2022-12-18,2022-12-31,1228.58
13,6856,2022-03-15,2022-03-17,5425.35
14,3383,2023-01-05,2023-01-25,2350.67
15,9984,2022-06-01,2022-06-02,5907.79
16,4190,2022-04-20,2022-04-29,1092.23
17,1148,2022-04-16,2022-05-08,2646.39
18,284,2022-11-08,2022-11-19,9301.49
19,3579,2022-05-02,2022-06-01,7404.07
20,2644,2022-10-21,2022-10-26,9229.2
21,9091,2023-01-27,2023-02-26,9963.84
22,2284,2022-05-08,2022-05-28,5064.17
23,2249,2022-04-10,2022-04-20,2011.91
24,1162,2022-03-20,2022-04-12,2341.07
25,445,2022-07-24,2022-07-26,3277.31
26,6236,2022-08-31,2022-09-10,2738.09
27,774,2022-04-09,2022-04-13,9751.56
28,7503,2023-01-04,2023-01-15,9026.91
29,1850,2022-09-17,2022-09-26,2786.16
30,1494,2023-02-20,2023-03-06,4236.42
31,650,2022-08-02,2022-08-21,7623.25
32,1495,2022-10-10,2022-11-09,1948.64
33,7255,2022-05-18,2022-05-31,3060.59
34,4342,2023-01-23,2023-02-21,1253.2
35,5461,2023-02-06,2023-02-28,7078.68
36,7940,2022-08-06,2022-09-03,3261.49
37,4173,2022-09-17,2022-09-26,811.72
38,7355,2023-02-23,2023-03-16,555.84
39,6794,2022-07-13,2022-07-21,3209.52
40,4517,2023-02-09,2023-02-16,6425.52
41,1140,2022-07-03,2022-07-13,3686.99
42,139,2022-11-29,2022-12-11,7942.85
43,7854,2023-02-05,2023-02-11,2883.86
44,9749,2023-02-07,2023-02-15,2005.6
45,8739,2022-07-06,2022-07-23,2053.62
46,3384,2023-03-02,2023-03-08,6096.36
47,5707,2022-07-20,2022-08-05,5314.9
48,6502,2022-11-28,2022-11-29,771.75
49,8538,2022-10-07,2022-10-21,8868.3
50,8227,2022-09-02,2022-09-10,1388.25
51,7838,2022-06-24,2022-07-20,4967.1
52,9501,2022-07-06,2022-08-05,9742.59
53,2475,2022-08-10,2022-09-06,9659.3
54,3440,2022-03-21,2022-04-09,6746.17
55,7598,2022-09-08,2022-10-05,717.52
56,2456,2022-06-08,2022-06-21,9722.24
57,6144,2022-11-25,2022-12-01,8095.55
58,9910,2022-08-07,2022-08-08,2443.8
59,6794,2022-12-15,2023-01-07,7147.91
60,4541,2022-10-18,2022-11-03,6547.85
61,6999,2023-02-14,2023-03-06,6917.91
62,8128,2023-01-24,2023-02-06,9228.17
63,812,2022-11-15,2022-12-11,7377.93
64,5773,2022-08-10,2022-08-26,3709.98
65,7446,2023-01-06,2023-01-28,2811.19
66,7639,2022-09-29,2022-10-18,4692.16
67,6108,2022-04-18,2022-05-16,5079.24
68,7769,2022-08-12,2022-08-28,1226.84
69,1700,2022-10-30,2022-11-12,2932.71
70,4769,2022-04-19,2022-04-20,2644.58
71,1141,2022-10-16,2022-10-18,9027.52
72,8449,2022-09-26,2022-10-09,9923.26
73,9573,2023-01-12,2023-01-15,7034.42
74,791,2022-07-27,2022-07-30,2978.79
75,1396,2023-01-08,2023-01-20,4383.1
76,8316,2022-11-08,2022-11-30,5297.66
77,1864,2022-07-25,2022-08-24,1645.33
78,4169,2022-04-18,2022-05-15,5158.45
79,9551,2022-05-27,2022-06-13,2928.59
80,2899,2022-09-01,2022-09-14,7563.35
81,896,2022-06-07,2022-07-05,9725.61
82,3340,2022-11-05,2022-11-19,9485.9
83,1874,2022-07-10,2022-07-20,5926.98
84,2706,2022-12-11,2022-12-30,7745.81
85,9983,2022-04-09,2022-04-20,8829.08
86,5541,2022-03-21,2022-04-09,2282.42
87,1497,2022-04-24,2022-05-05,4976.26
88,5320,2022-12-31,2023-01-04,9409.24
89,3305,2022-11-11,2022-12-10,9045.03
90,3207,2022-12-22,2023-01-06,9098.86
91,2865,2022-09-08,2022-09-13,1451.28
92,5365,2022-12-31,2023-01-13,5146.82
93,5632,2022-10-08,2022-10-30,6577.75
94,1722,2022-09-14,2022-09-19,7291.58
95,1932,2023-02-22,2023-03-21,6601.85
96,8830,2022-10-16,2022-10-30,9059.8
97,9793,2022-05-10,2022-06-06,9186.41
98,4450,2022-06-29,2022-07-27,8755.92
99,513,2022-04-03,2022-04-10,7718.61
100,2433,2023-01-11,2023-01-19,4516.41
101,7393,2022-04-08,2022-04-23,671.13
102,4037,2022-07-02,2022-07-30,1841.96
103,8257,2022-12-16,2022-12-31,3800.52
104,1225,2022-07-23,2022-08-15,8143.1
105,7090,2022-12-12,2023-01-10,3254.78
106,8927,2022-07-02,2022-07-25,5022.65
107,5927,2022-08-24,2022-08-25,6842.07
108,7549,2022-12-06,2022-12-20,2031.11
109,7186,2022-05-18,2022-05-23,8935.54
110,3588,2022-12-20,2023-01-17,8689.66
111,1199,2022-07-18,2022-08-13,5302.22
112,5372,2022-11-10,2022-11-20,561.34
113,6998,2022-04-18,2022-05-13,3066.99
114,8536,2022-06-21,2022-07-08,5870.91
115,6368,2022-10-06,2022-10-18,8118.08
116,1668,2022-11-27,2022-12-21,4294.34
117,9545,2022-04-13,2022-04-26,4424.23
118,1682,2022-11-08,2022-11-24,724.38
119,1921,2022-09-26,2022-09-28,812.72
120,4414,2023-01-13,2023-02-04,1811.37
121,7310,2022-04-23,2022-05-23,7287.38
122,8433,2022-05-05,2022-05-14,9559.23
123,605,2022-08-16,2022-08-24,9697.37
124,6573,2022-03-31,2022-04-27,8696.51
125,4986,2022-04-13,2022-05-01,700.28
126,4478,2022-06-01,2022-06-19,3239.68
127,6516,2023-02-07,2023-02-24,9248.75
128,1777,2023-01-19,2023-02-01,5612.0
129,8553,2022-07-09,2022-07-26,1725.56
130,4484,2022-11-28,2022-12-04,9716.12
131,1382,2022-07-11,2022-07-22,6551.53
132,4360,2022-10-11,2022-10-22,288.86
