payment_id,supplier_id,payment_date,payment_method,amount
1,4940,2023-02-22,Credit Card,112.31
2,2838,2022-12-13,Bank Transfer,344.01
3,7149,2022-04-18,PayPal,784.18
4,1541,2022-04-02,PayPal,437.25
5,7825,2022-12-29,PayPal,500.19
6,5522,2022-09-30,Debit Card,145.84
7,7975,2023-01-10,Debit Card,384.97
8,2309,2022-07-22,Credit Card,288.95
9,3727,2022-11-19,Debit Card,592.94
10,5297,2022-11-15,PayPal,262.62
11,4483,2022-09-12,Credit Card,703.19
12,2368,2022-07-10,Debit Card,379.16
13,3868,2022-08-11,Debit Card,467.48
14,3737,2022-11-23,PayPal,430.63
15,580,2022-10-07,Credit Card,75.28
16,4237,2023-01-21,PayPal,548.05
17,7343,2022-03-26,PayPal,59.01
18,3948,2023-01-28,Debit Card,347.59
19,2514,2023-02-17,PayPal,728.0
20,6920,2022-03-20,Debit Card,717.61
21,8784,2022-04-11,PayPal,314.98
22,109,2022-11-18,Debit Card,666.64
23,6982,2023-01-17,PayPal,526.37
24,342,2022-06-10,Credit Card,940.76
25,5816,2023-02-20,Debit Card,691.63
26,3510,2022-12-09,PayPal,347.13
27,5625,2022-06-01,PayPal,556.81
28,9186,2022-04-28,PayPal,347.53
29,7612,2023-02-01,Bank Transfer,468.81
30,3638,2022-12-20,Bank Transfer,79.05
31,4389,2022-04-06,PayPal,601.21
32,5244,2022-12-24,Debit Card,750.27
33,1463,2023-02-16,PayPal,18.49
34,7467,2022-04-20,Credit Card,580.21
35,7705,2022-04-28,Credit Card,328.07
36,6651,2022-03-28,Bank Transfer,716.72
37,6221,2022-12-02,Credit Card,28.47
38,4608,2022-11-04,Debit Card,759.81
39,5966,2023-02-27,Bank Transfer,517.13
40,2457,2022-05-29,Credit Card,463.2
41,8725,2023-02-17,PayPal,993.3
42,8801,2022-06-09,Debit Card,811.62
43,7872,2022-03-31,Debit Card,257.49
44,672,2023-02-01,Bank Transfer,455.86
45,3116,2022-04-06,Credit Card,535.13
46,5629,2022-11-24,Bank Transfer,933.93
47,7229,2022-06-19,Credit Card,180.23
48,2609,2022-09-28,Bank Transfer,293.33
49,3878,2022-09-10,PayPal,81.72
50,5888,2022-10-01,Credit Card,289.95
51,5093,2022-06-03,Credit Card,817.17
52,2672,2022-10-30,Credit Card,11.38
53,3607,2022-07-08,Bank Transfer,76.31
54,5884,2022-07-05,Debit Card,105.96
55,1148,2022-08-23,Debit Card,147.56
56,7275,2022-08-01,Debit Card,815.43
57,8056,2022-05-17,Bank Transfer,876.26
58,2941,2022-07-22,PayPal,277.3
59,7929,2022-07-19,Bank Transfer,629.16
60,560,2022-03-24,Bank Transfer,674.11
61,1660,2023-01-08,Bank Transfer,186.18
62,1906,2022-12-13,Bank Transfer,751.76
63,606,2022-03-12,Credit Card,474.24
64,835,2023-01-11,Bank Transfer,508.76
65,3535,2022-11-21,PayPal,132.55
66,6976,2022-11-11,PayPal,830.07
67,5784,2022-12-15,Debit Card,681.55
68,4019,2022-10-28,Credit Card,599.9
69,6580,2022-06-07,Bank Transfer,902.35
70,6171,2022-12-25,PayPal,258.8
71,8388,2022-10-22,Bank Transfer,607.82
72,9064,2022-11-23,Bank Transfer,839.8
73,7948,2022-05-26,Credit Card,76.2
74,5775,2023-01-26,Debit Card,584.54
75,8191,2022-06-04,PayPal,859.44
