shipment_item_id,shipment_id,product_name,quantity_received,unit_price
1,2904,Product D,7,9.84
2,7229,Product E,4,18.83
3,471,Product D,5,9.04
4,3542,Product A,4,46.64
5,8816,Product A,5,43.99
6,9514,Product B,8,11.2
7,3765,Product B,10,11.64
8,3663,Product A,8,45.96
9,6768,Product B,3,34.59
10,1354,Product C,6,12.08
11,528,Product D,10,41.84
12,7673,Product C,1,34.49
13,6186,Product B,9,41.08
14,755,Product C,10,25.24
15,732,Product B,1,46.67
16,5541,Product E,7,43.07
17,9557,Product E,10,5.65
18,4634,Product D,2,20.75
19,7322,Product A,7,29.45
20,6032,Product E,5,22.76
21,4641,Product D,6,7.08
22,6649,Product A,2,2.63
23,1518,Product A,1,3.57
24,2837,Product B,9,10.01
25,7668,Product C,6,4.23
26,7171,Product B,3,40.89
27,5907,Product E,2,9.85
28,6021,Product B,3,40.02
29,7580,Product A,8,27.14
30,5732,Product B,5,33.41
31,5878,Product B,3,35.12
32,3619,Product D,1,42.41
33,2664,Product D,5,22.44
34,692,Product E,3,8.37
35,390,Product C,10,20.12
36,9920,Product C,10,4.8
37,5040,Product E,7,27.4
38,6145,Product D,2,39.05
39,4018,Product C,2,11.02
40,6891,Product A,9,18.66
41,214,Product B,5,3.65
42,965,Product A,3,23.45
43,8159,Product E,4,22.32
44,2959,Product B,9,1.76
45,3851,Product E,4,28.65
46,2140,Product A,5,30.34
47,7286,Product C,4,27.58
48,9874,Product C,7,46.39
49,5773,Product B,2,34.04
50,5222,Product B,3,29.8
51,7463,Product D,6,47.44
52,2530,Product A,5,12.15
53,8512,Product E,8,6.49
54,4871,Product E,8,31.2
55,6695,Product C,6,45.2
56,1072,Product A,4,19.73
57,5788,Product E,2,39.01
58,233,Product C,2,25.8
59,611,Product B,10,14.64
60,1478,Product C,8,14.51
61,7413,Product C,2,41.33
62,2082,Product D,3,6.28
63,630,Product E,2,7.0
64,6152,Product A,4,14.57
65,8798,Product D,10,7.09
66,5646,Product E,2,27.36
67,818,Product A,5,2.03
68,347,Product E,7,49.06
69,5900,Product E,3,13.59
70,1381,Product B,6,11.79
71,6668,Product E,3,42.56
72,7552,Product D,3,43.09
73,2517,Product D,1,46.87
74,7021,Product A,3,24.58
75,225,Product A,6,34.85
76,8636,Product A,9,19.98
77,332,Product B,3,43.22
78,7461,Product A,3,7.81
79,6055,Product B,6,49.72
80,8914,Product A,6,41.53
81,9799,Product E,1,12.34
82,4907,Product E,3,6.71
83,250,Product D,2,33.44
84,6758,Product C,1,6.4
85,465,Product E,9,42.41
86,1657,Product D,1,42.28
87,1069,Product E,5,37.93
88,9355,Product C,9,14.02
89,204,Product E,4,31.48
90,9279,Product B,6,1.07
91,1431,Product C,7,4.38
92,4448,Product D,9,18.74
93,3996,Product C,5,29.85
94,4794,Product D,5,36.88
95,1544,Product C,2,12.72
96,8497,Product A,1,9.21
97,6376,Product B,5,7.85
98,1854,Product C,8,34.72
99,4982,Product C,6,31.31
100,8041,Product D,8,1.52
101,6602,Product E,4,17.31
102,2855,Product D,6,8.98
103,6623,Product C,4,48.31
104,2576,Product B,1,17.2
105,2713,Product C,1,6.31
106,4632,Product D,10,7.67
107,3033,Product E,7,7.97
108,9481,Product E,10,35.01
109,1413,Product B,8,15.74
110,8465,Product C,6,3.44
111,405,Product C,1,47.79
112,3506,Product A,6,42.92
113,4617,Product C,3,13.38
114,9126,Product C,8,49.4
115,3324,Product B,7,28.99
116,2352,Product B,2,40.96
117,3515,Product A,6,11.36
118,2599,Product B,6,21.65
119,360,Product B,7,10.03
120,9106,Product D,9,25.88
121,35,Product C,7,6.76
122,2630,Product C,6,8.3
123,8155,Product A,6,20.39
124,6699,Product D,5,10.92
125,7548,Product A,9,9.16
126,6714,Product E,6,11.22
127,8111,Product D,2,4.43
128,5202,Product D,7,38.82
129,8155,Product E,6,13.57
130,8355,Product B,1,21.38
131,284,Product E,4,41.26
132,9564,Product B,1,30.61
133,6374,Product B,5,39.7
134,806,Product B,3,13.44
135,583,Product C,6,5.55
136,6833,Product B,7,16.84
137,1396,Product C,9,11.18
138,279,Product A,5,2.58
139,4059,Product A,2,17.03
140,1152,Product D,9,30.7
141,7958,Product A,10,26.21
142,931,Product A,6,26.36
143,311,Product C,4,21.0
144,3157,Product C,7,45.58
145,4590,Product C,5,9.49
146,2716,Product D,2,31.44
147,6246,Product D,8,15.68
148,9554,Product D,5,19.39
149,3673,Product C,1,31.05
150,8660,Product B,5,5.92
151,5656,Product D,4,27.43
152,8743,Product B,8,25.99
153,6776,Product B,3,39.91
154,1127,Product E,7,37.99
155,3796,Product C,10,22.39
156,1578,Product A,10,49.75
157,4766,Product A,10,45.12
158,19,Product D,3,1.01
159,8787,Product C,1,13.85
160,670,Product C,6,33.09
161,6075,Product D,1,44.88
162,1994,Product A,10,46.39
163,4371,Product C,4,43.84
164,1661,Product B,8,10.84
165,4109,Product C,7,35.19
166,3888,Product A,3,48.32
167,6394,Product A,8,44.34
168,5959,Product D,7,8.31
169,8279,Product B,1,44.82
170,4578,Product D,1,33.72
171,9857,Product A,1,44.94
172,1489,Product C,9,38.51
173,1243,Product A,4,29.82
174,5782,Product D,10,1.42
175,9497,Product D,2,6.32
176,2058,Product D,1,28.29
177,7884,Product E,4,48.64
178,2631,Product B,9,32.25
179,1242,Product D,4,3.96
180,3105,Product A,7,3.79
181,8567,Product E,10,25.29
182,1095,Product E,6,37.48
183,3315,Product D,5,12.93
184,5153,Product B,3,7.78
185,302,Product A,8,13.0
186,6892,Product D,5,6.69
