shipment_id,order_id,shipment_date,carrier_name,tracking_number
1,9976,2022-10-11,DHL,7WZ5IP5X94
2,9899,2022-01-25,UPS,WIVMN3LTD9
3,3482,2021-04-02,USPS,546K0VC8C5
4,189,2022-09-20,FedEx,1TJAG7BPS4
5,801,2020-08-26,DHL,C6XRWOTGN1
6,3269,2022-06-28,DHL,8RRBFWT3MB
7,3722,2022-01-18,USPS,H7DFB5XT1R
8,3557,2020-01-01,FedEx,HZUNHM6IJ4
9,2751,2022-11-04,DHL,OTT5T250QW
10,6038,2020-03-11,DHL,815S5ZSDXP
11,7204,2022-05-03,DHL,67OM8O4Z2D
12,9019,2020-07-11,FedEx,XFNH50J9PU
13,7009,2020-01-12,UPS,KTWDOKH70U
14,6260,2022-11-17,UPS,TU3UDX21BZ
15,7690,2021-10-11,UPS,DNJNQ4BP1X
16,6655,2020-01-09,UPS,ZO66LAYSYI
17,2917,2022-01-02,DHL,1EFCJHIETG
18,7199,2021-07-18,DHL,PBLTK21AUL
19,3263,2021-08-11,FedEx,EDDW8H875M
20,6696,2021-05-19,DHL,FXHWVZ3NT9
21,9478,2022-09-03,USPS,IM0QJA7NRE
22,3533,2022-04-11,USPS,4BH1ZZQHQS
23,7565,2020-04-22,UPS,1DOTJSJDBA
24,3386,2021-03-08,UPS,4SC73T8V0M
25,4508,2021-10-15,USPS,3RR25EPQUW
26,3720,2022-10-25,USPS,UFOGR3C6AY
27,5284,2022-11-25,DHL,ZMU76KSP8N
28,7586,2022-10-04,DHL,K95DJ4W9IM
29,1931,2022-01-13,DHL,S66UV0MJQB
30,4399,2022-05-29,FedEx,IDF93J1R3X
31,3404,2022-12-03,UPS,CNDXPMSXAC
32,7592,2021-08-07,FedEx,N7TN4LEO50
33,2204,2022-09-16,FedEx,E0R9SQHOF6
34,5238,2021-01-13,FedEx,LF1X11VQKL
35,6667,2022-12-10,USPS,RVM2AXWFPG
36,9412,2022-05-15,UPS,BTZFO1OQ3Z
37,5163,2020-12-17,DHL,8DBC09QWV1
38,1115,2020-03-26,UPS,HWZMVIH9YU
39,8095,2021-08-11,DHL,UY6ZDCIS04
40,4534,2022-07-08,UPS,P6EONY75C0
41,7368,2022-11-27,USPS,HQN2RR88ZO
42,3245,2021-06-13,UPS,IA7L61YWRA
43,810,2020-01-13,UPS,DT1S76K64V
44,6880,2022-11-20,UPS,0GOMXVHSG2
45,8225,2022-01-28,USPS,CYW2ZTJCKE
46,8969,2020-08-25,USPS,F4OFEPG200
47,6132,2021-10-10,DHL,653I7XNMLH
48,9816,2022-03-15,DHL,WAMXWYEVSA
49,3470,2020-12-14,DHL,NW7602M6F8
50,4360,2020-01-29,USPS,3CAYJZCZUA
51,5670,2020-09-21,USPS,5J5CKRAIOZ
52,9423,2020-02-24,USPS,IG2FVLIAYE
53,81,2021-12-17,USPS,CSZCPWU63O
54,3890,2021-06-11,UPS,YUJ0WWAFB1
55,535,2022-07-13,FedEx,FQIUPUP7EP
56,6968,2021-07-20,DHL,H3OFLKIOHD
57,6777,2022-08-10,DHL,DMBXOC3WG4
58,6570,2021-07-02,DHL,2YDXLXUOFT
59,6427,2021-05-09,USPS,9PPAGV4MXK
60,18,2021-10-21,FedEx,668V3DA0T9
61,4806,2022-01-13,FedEx,QFBQKRXZEG
62,6256,2022-07-16,UPS,ZL8EZ94BOE
63,745,2022-05-18,FedEx,Y6TM613KS7
64,501,2022-07-14,UPS,7GT6THD6SA
65,7218,2020-09-10,USPS,YZFDGWQLJM
66,8069,2021-01-01,UPS,J0GO32HSFP
67,7367,2020-01-15,DHL,V0KILD78P0
68,9023,2020-03-29,USPS,20C6PIUQ3M
69,1231,2020-04-28,FedEx,A9SH8NKMRN
70,6909,2021-07-12,DHL,BUT241HROQ
71,7904,2020-02-15,USPS,HGQS8OQACJ
72,4863,2022-07-30,USPS,XER4UDYFV9
73,8508,2020-10-01,USPS,THNC7ZD7XU
74,2077,2022-05-31,FedEx,APFQYSX5J3
75,1422,2022-04-14,DHL,XF6N668LKG
76,7453,2022-10-25,FedEx,VDHGN7XIKB
77,7010,2022-02-18,DHL,Q4H3X8SKNG
78,9841,2022-11-06,USPS,9KLNL3BLXK
79,5769,2021-12-01,USPS,RCRKRQ5ILL
80,4134,2020-06-21,UPS,FYTTD4SM2H
81,1137,2021-10-16,UPS,Z1YTOFTTEP
82,5629,2020-01-06,USPS,PSBYTIMH0H
83,7506,2020-06-03,USPS,VOHL95TC7O
84,9131,2022-06-19,UPS,0DYW00FS3B
85,4784,2020-08-26,USPS,MD8DNE1JXD
86,9222,2020-04-29,USPS,72E7E7LBE1
87,6567,2021-02-17,DHL,YPLLG8WTA3
88,4793,2021-09-11,DHL,SQWYXVD65P
89,6057,2021-07-11,FedEx,YYQSX9U9RW
90,938,2022-06-01,DHL,YWCC7BYZHZ
91,4337,2021-12-16,USPS,FVK8GC1ZXZ
92,1675,2021-02-25,UPS,7SVRSWQ0LY
93,9945,2020-03-18,USPS,W6G092CINR
94,7421,2021-08-16,DHL,SSW4VA19MA
95,9933,2020-03-22,FedEx,8ZL3DNY42W
96,3195,2022-04-14,FedEx,SUUV8OUODT
97,9012,2022-07-24,FedEx,SUZKMQZITC
98,5451,2022-07-13,UPS,K1G4520GTI
99,1148,2021-02-12,DHL,7MRPOZ02UI
100,7693,2022-03-15,DHL,I97CC1SEJE
101,9206,2021-09-14,DHL,5MF3OV2UD8
102,7856,2022-09-25,FedEx,BPY4JLAMMD
103,9342,2020-08-04,DHL,TINMRMGIYB
104,9227,2021-05-07,UPS,1U7ZSSRLY7
105,5967,2021-02-02,UPS,02D3ULZZJ3
106,637,2021-03-25,FedEx,Y8AK0T4RLR
107,3390,2020-12-08,USPS,P0L57BC03L
108,9076,2021-08-24,DHL,AEAH3IK1SR
109,9811,2022-07-29,USPS,5U6UT9RRRQ
110,9909,2020-02-03,FedEx,D8BLZ2FYY3
111,8860,2021-07-10,FedEx,ZATQ49GJDE
112,4337,2021-07-20,DHL,IOWYULSUDC
113,6068,2022-11-01,FedEx,MMXYN7SR9E
114,2379,2022-10-26,FedEx,RH16CN953N
115,9607,2022-05-30,FedEx,U4FEOFCBKS
116,2202,2020-04-20,USPS,72LUK8ZZ60
117,2917,2020-12-07,USPS,J2U22QY7M2
118,5603,2021-05-10,UPS,NF3WEEWE3I
119,5243,2020-02-03,FedEx,JQG8K0RJDB
120,1834,2022-10-31,DHL,ZK1WTU90JN
121,8833,2022-03-27,UPS,0X7G7C5ZJT
122,243,2022-05-07,FedEx,5NTOYQWUJE
123,9804,2020-04-01,UPS,EC5XYYC16T
124,6949,2020-04-04,USPS,2LZ3KTXJK6
125,4628,2021-02-16,USPS,UQ0XRI250E
126,3265,2020-08-02,DHL,4Z2LBC36UJ
127,4381,2021-04-01,FedEx,EFYFHRKTD3
128,8853,2022-07-23,USPS,KYFQXPH28V
129,9616,2020-02-05,FedEx,KV6KOANIPE
130,2927,2020-03-22,FedEx,6BT2DINR9S
131,119,2022-11-21,UPS,7R59VPONRM
132,1855,2022-03-27,DHL,SN2VESGCTN
133,1917,2020-09-24,UPS,YBXW9D27TE
134,4356,2021-04-30,DHL,Z8I3OMOKGD
135,9811,2022-08-31,DHL,HD2B418W9S
136,7307,2020-07-24,USPS,L5RLQDO4T3
137,9263,2021-04-16,USPS,9BIVGPOB3T
138,8171,2022-08-13,UPS,BEQUA0A23E
139,4896,2020-08-18,DHL,H7JXL57J40
140,4660,2020-08-03,DHL,Y79JLR7YB7
141,9217,2020-09-23,FedEx,G26I04KPDJ
142,2915,2021-05-18,UPS,TGPLI2TQVZ
143,6557,2020-10-13,FedEx,88OH5W8T8M
144,7702,2022-08-23,USPS,K8A2TCB80C
145,1984,2022-11-21,USPS,BFK9ACDEF9
146,199,2022-08-23,FedEx,0VZD04K8B0
147,5951,2021-09-13,UPS,5IG23L55BO
148,6078,2021-06-13,USPS,YMHG7ANYUX
149,2106,2020-07-24,USPS,1WN3GEFEYY
150,6194,2022-08-06,UPS,MQBQQOCN9K
