supplier_id,name,email,phone_number,address,city,state,zip_code
1,XYZ Corporation,a260k0lo@yahoo.com,0198400888,2367 pdweaodcyf St.,pqzvsqilai,Florida,60601
2,XYZ Corporation,0u90nbor@hotmail.com,2837125977,1168 munrgjshhb St.,jnjcqboxef,Pennsylvania,90210
3,ABC Suppliers,wa72v2c6@hotmail.com,8274929464,8816 wsbruazeuk St.,vnpkuntbra,Florida,75001
4,ABC Suppliers,l9dism4v@hotmail.com,5818693089,4015 ctkhpqjqax St.,rdynkbxqhs,Texas,90210
5,XYZ Corporation,eymrl9fl@gmail.com,2424506711,3623 yadijljphf St.,mwymuattnn,California,33101
6,Smith & Sons,wigt0agb@hotmail.com,0040375185,5796 odepvtmszq St.,hrdyhjhgki,Florida,90210
7,ABC Suppliers,nqi88xdl@gmail.com,2301987111,1404 umegdtauri St.,blwzfuysys,New York,90210
8,Acme Inc.,u8gkp8nh@outlook.com,3738371762,6689 utdrpkarpt St.,sydndwaibg,New York,90210
9,XYZ Corporation,3n3u7lnp@yahoo.com,7982870034,3605 bfitbmtkvw St.,abfvwelock,Ohio,33101
10,Smith & Sons,b71uus4k@gmail.com,1628634568,4125 lwniqwpqgh St.,xvsiripcmf,Texas,10001
11,XYZ Corporation,gvys8y06@hotmail.com,6837349680,6236 wkzntgyvvx St.,tdbckszvdi,California,33101
12,Acme Inc.,854ue2b1@yahoo.com,5792248168,8050 ixptsmhsjt St.,bzszwgdlly,California,10001
13,XYZ Corporation,5xrb7b00@yahoo.com,1058366450,1437 jjxvkduddi St.,jmzdeicaup,New York,60601
14,ABC Suppliers,2v6d1dly@outlook.com,8483084229,7367 ofacmkekdx St.,xnyqirmpwi,California,10001
15,ABC Suppliers,pvrvyl5v@gmail.com,3039359193,1662 qazsyfouad St.,xqqmejwumr,Illinois,10001
16,Smith & Sons,s902iz3y@gmail.com,8861082511,2382 ymmzdstzda St.,gkvyfoacwe,California,10001
17,ABC Suppliers,r4hx46nd@hotmail.com,5110274445,922 qyjgvrfbhz St.,asvqjmrmki,California,60601
18,ABC Suppliers,su28fao0@outlook.com,5154587734,5048 mlymrvvrcl St.,jqsrzzwzfo,Ohio,33101
19,XYZ Corporation,augv8hn2@yahoo.com,1012581877,5854 drugxqseuj St.,iebmmfriqu,Pennsylvania,60601
20,XYZ Corporation,272nvfh5@outlook.com,1126021979,1695 fpgceexxik St.,ankbwpyzgr,Pennsylvania,75001
21,ABC Suppliers,arshqy02@outlook.com,2680769974,2323 fqrseiqmla St.,adxcnbegie,New York,75001
22,Smith & Sons,w1wntyvx@hotmail.com,0138308067,4669 dvcdxnuwzb St.,mxvuftsdwo,California,75001
23,ABC Suppliers,6vtmgwv3@outlook.com,9868194714,9383 hvorplxbir St.,hexaytwogk,Texas,75001
24,Acme Inc.,nfyj5mkf@hotmail.com,1799252141,7313 fngtjjnpsl St.,pqwlatndmt,Ohio,10001
25,Global Trading Co.,0r9mzdo4@gmail.com,3976568994,304 vhwobzngou St.,rwydbnvfvl,Texas,10001
